"Date","Price","Open","High","Low","Change %"
"Jan 15","4.184","4.896","4.896","4.184","-15.47%"
"Dec 14","4.950","4.717","4.951","4.688","3.34%"
"Nov 14","4.790","4.887","4.977","4.767","-2.22%"
"Oct 14","4.899","5.283","5.285","4.899","-8.86%"
"Sep 14","5.375","5.392","5.426","5.340","0.32%"
"Aug 14","5.358","5.346","5.498","5.333","0.04%"
"Jul 14","5.356","5.435","5.439","5.283","-1.42%"
"Jun 14","5.433","5.219","5.477","5.196","6.53%"
"May 14","5.100","5.646","5.698","5.069","-10.37%"
"Apr 14","5.690","5.685","5.821","5.662","0.98%"
"Mar 14","5.635","5.858","5.931","5.441","-2.81%"
"Feb 14","5.798","5.865","6.152","5.777","0.68%"
"Jan 14","5.759","5.702","5.850","5.508","2.00%"
"Dec 13","5.646","5.004","5.646","5.004","13.21%"
"Nov 13","4.987","4.867","4.987","4.799","1.94%"
"Oct 13","4.892","5.646","5.671","4.892","-12.31%"
"Sep 13","5.579","5.481","5.579","5.249","2.18%"
"Aug 13","5.460","4.665","5.479","4.650","16.99%"
"Jul 13","4.667","5.552","6.023","4.642","-14.35%"
"Jun 13","5.449","4.684","6.333","4.684","15.57%"
"May 13","4.715","4.053","4.715","3.960","12.93%"
"Apr 13","4.175","3.942","4.429","3.833","0.85%"
"Mar 13","4.140","5.018","5.035","4.113","-18.21%"
"Feb 13","5.062","5.344","5.344","4.935","-5.28%"
"Jan 13","5.344","5.855","5.855","5.344","-9.36%"
"Dec 12","5.896","5.885","5.896","5.745","0.60%"
"Nov 12","5.861","6.050","6.050","5.861","-3.38%"
"Oct 12","6.066","6.075","6.281","6.042","0.35%"
"Sep 12","6.045","5.931","6.087","5.888","2.39%"
"Aug 12","5.904","5.875","6.069","5.875","-1.67%"
"Jul 12","6.004","6.338","6.339","5.800","-5.94%"
"Jun 12","6.383","6.475","6.680","6.350","-3.54%"
"May 12","6.617","6.438","6.708","6.389","1.29%"
"Apr 12","6.533","6.475","6.642","6.417","1.33%"
"Mar 12","6.447","6.162","6.939","6.044","4.34%"
"Feb 12","6.179","6.389","6.400","5.850","-3.17%"
"Jan 12","6.381","6.605","6.688","6.300","-2.92%"
"Dec 11","6.573","6.917","7.088","6.366","-7.92%"
"Nov 11","7.138","7.350","7.503","7.008","-2.57%"
"Oct 11","7.326","7.630","7.712","7.261","-4.42%"
"Sep 11","7.665","7.755","8.089","7.368","-1.99%"
"Aug 11","7.821","8.106","8.150","7.783","-3.78%"
"Jul 11","8.128","8.185","8.329","8.075","-0.88%"
"Jun 11","8.200","7.975","8.279","7.975","2.51%"
"May 11","7.999","7.955","8.069","7.910","0.81%"
"Apr 11","7.935","8.083","8.127","7.892","-1.75%"
"Mar 11","8.076","8.448","8.477","8.076","-4.64%"
"Feb 11","8.469","8.485","8.692","8.402","-0.56%"
"Jan 11","8.517","8.102","9.517","8.100","4.21%"
"Dec 10","8.173","8.244","8.402","8.169","-0.56%"
"Nov 10","8.219","8.104","8.219","8.002","1.83%"
"Oct 10","8.071","8.177","8.177","7.956","-1.18%"
"Sep 10","8.167","8.627","8.760","8.167","-5.27%"
"Aug 10","8.621","8.976","9.014","8.621","-3.84%"
"Jul 10","8.965","9.103","9.122","8.904","-1.88%"
"Jun 10","9.137","9.181","9.181","9.116","-0.08%"
"May 10","9.144","9.260","9.367","9.144","-1.25%"
"Apr 10","9.260","9.217","9.315","9.214","0.54%"
"Mar 10","9.210","9.256","9.342","9.210","-0.74%"
"Feb 10","9.279","9.383","9.402","9.278","-1.11%"
"Jan 10","9.383","9.370","9.530","9.350","-0.02%"
"Dec 09","9.385","9.462","9.462","9.324","0.40%"
"Nov 09","9.348","9.952","9.952","9.311","-7.31%"
"Oct 09","10.085","10.204","10.246","9.917","-0.96%"
"Sep 09","10.183","10.158","10.275","10.131","0.12%"
"Aug 09","10.171","10.163","10.183","10.133","0.06%"
"Jul 09","10.165","10.165","10.165","10.165","0.15%"
"Jun 09","10.150","10.150","10.150","10.150","-0.82%"
